,City,Country,Long,Lat,date,type,value
203," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,currently ill,0
204," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,confirmed,0
205," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,died,0
206," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,recovered,0
207," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,currently ill,0
208," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,confirmed,0
209," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,died,0
210," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,recovered,0
211," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,currently ill,0
212," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,confirmed,0
213," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,died,0
214," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,recovered,0
215," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,currently ill,0
216," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,confirmed,0
217," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,died,0
218," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,recovered,0
219," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,currently ill,0
220," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,confirmed,0
221," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,died,0
222," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,recovered,0
223," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,currently ill,0
224," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,confirmed,0
225," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,died,0
226," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,recovered,0
227," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,currently ill,0
228," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,confirmed,0
229," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,died,0
230," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,recovered,0
231," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,currently ill,0
232," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,confirmed,0
233," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,died,0
234," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,recovered,0
235," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,currently ill,0
236," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,confirmed,0
237," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,died,0
238," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,recovered,0
239," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,currently ill,0
240," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,confirmed,0
241," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,died,0
242," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,recovered,0
243," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,currently ill,0
244," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,confirmed,0
245," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,died,0
246," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,recovered,0
247," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,currently ill,0
248," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,confirmed,0
249," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,died,0
250," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,recovered,0
251," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,currently ill,0
252," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,confirmed,0
253," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,died,0
254," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,recovered,0
255," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,currently ill,0
256," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,confirmed,0
257," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,died,0
258," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,recovered,0
259," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,currently ill,0
260," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,confirmed,0
261," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,died,0
262," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,recovered,0
263," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,currently ill,0
264," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,confirmed,0
265," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,died,0
266," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,recovered,0
267," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,currently ill,0
268," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,confirmed,0
269," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,died,0
270," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,recovered,0
